CRN,Subject,Course Number,Course,Title,Instructor,Meeting Times,Campus,Instructional Method,Status,Seats Available,Enrollment,Maximum Enrollment,Waitlist Available
85257,ANT,4180,ANT 4180,Archaeological Lab Methods,[REDACTED],F | 9:00 AM - 12:00 PM | 51-Social Sciences Room 1204,Main Campus-UNF,Standard,OPEN,4,14,18,10
86376,ANT,4905,ANT 4905,Directed Independent Study in Anthropology,[REDACTED],TBA,Main Campus-UNF,Independent,FULL - WAITLIST AVAILABLE,0,1,1,1
86449,ANT,4905,ANT 4905,Directed Independent Study in Anthropology,[REDACTED],TBA,Main Campus-UNF,Independent,OPEN,3,1,4,4
82800,APK,4165,APK 4165,Bioenergetics,[REDACTED],TR | 10:50 AM - 12:05 PM | 39-J. Brooks Brown Hall Room 1009,Main Campus-UNF,Standard,OPEN,1,59,60,0
82801,APK,4165,APK 4165,Bioenergetics,[REDACTED],TR | 10:50 AM - 12:05 PM | 39-J. Brooks Brown Hall Room 1009,Main Campus-UNF,Standard,OPEN,10,50,60,0
83300,APK,6116C,APK 6116C,Exercise Physiology and Laboratory Techniques,[REDACTED],R | 4:30 PM - 7:15 PM | 39-J. Brooks Brown Hall Room 4062,Main Campus-UNF,Standard,OPEN,1,23,24,0
83076,APK,6176,APK 6176,Advanced Concepts in Strength Training,[REDACTED],M | 4:30 PM - 7:15 PM | 39-J. Brooks Brown Hall Room 4062,Main Campus-UNF,Standard,OPEN,11,9,20,0
83301,APK,6235C,APK 6235C,Physical Activity Measurement in Research and Medicine,[REDACTED],W | 4:30 PM - 7:15 PM | 39-J. Brooks Brown Hall Room 4062,Main Campus-UNF,Standard,OPEN,11,9,20,0
86084,APK,6336,APK 6336,Physical Activity Epidemiology and Evidence Review,[REDACTED],T | 4:30 PM - 7:15 PM | 39-J. Brooks Brown Hall Room 4062,Main Campus-UNF,Standard,OPEN,1,23,24,0
83969,ARH,2000,ARH 2000,Art Appreciation,[REDACTED],R | 12:15 PM - 3:00 PM | 57-Petway Hall Room 2050,Main Campus-UNF,Standard,OPEN,1,34,35,35
84787,ARH,2000,ARH 2000,Art Appreciation,[REDACTED],TR | 3:05 PM - 4:20 PM | 45-Fine Arts Center Room 2807,Main Campus-UNF,Standard,OPEN,1,34,35,35
86228,ARH,2000,ARH 2000,Art Appreciation,[REDACTED],TR | 4:30 PM - 5:45 PM | 45-Fine Arts Center Room 2403,Main Campus-UNF,Standard,OPEN,5,55,60,60
82007,ARH,2050,ARH 2050,Art History Survey I,[REDACTED],TR | 1:40 PM - 2:55 PM | 14A-Robinson Theater Room 1312,Main Campus-UNF,Standard,OPEN,1,43,44,35
83972,ARH,2051,ARH 2051,Art History Survey II,[REDACTED],TR | 10:50 AM - 12:05 PM | 45-Fine Arts Center Room 2807,Main Campus-UNF,Standard,FULL - WAITLIST AVAILABLE,0,35,35,35
84203,ARH,3453,ARH 3453,Post War Art: 1940-1980,[REDACTED],MW | 1:30 PM - 2:45 PM | 45-Fine Arts Center Room 2807,Main Campus-UNF,Standard,OPEN,1,34,35,35
85998,ARH,3930,ARH 3930,ST: Museum Basics,[REDACTED],F | 12:00 PM - 2:45 PM | 45-Fine Arts Center Room 2807,Main Campus-UNF,Standard,OPEN,1,19,20,20
86520,ARH,4941,ARH 4941,Internship in Art History,[REDACTED],Off Main Campus Room OFF-MC,Off-Campus: Internships,Independent,OPEN,3,2,5,5
82063,ART,1201C,ART 1201C,Two-Dimensional Design,[REDACTED],MW | 9:00 AM - 11:30 AM | 45-Fine Arts Center Room 1606,Main Campus-UNF,Standard,OPEN,2,16,18,18
82064,ART,1201C,ART 1201C,Two-Dimensional Design,[REDACTED],MW | 12:00 PM - 2:30 PM | 45-Fine Arts Center Room 1606,Main Campus-UNF,Standard,FULL - WAITLIST AVAILABLE,0,18,18,18
82978,ART,1201C,ART 1201C,Two-Dimensional Design,[REDACTED],MW | 3:00 PM - 5:30 PM | 45-Fine Arts Center Room 1606,Main Campus-UNF,Standard,OPEN,6,12,18,18
82979,ART,1201C,ART 1201C,Two-Dimensional Design,[REDACTED],TR | 12:15 PM - 2:45 PM | 45-Fine Arts Center Room 1606,Main Campus-UNF,Standard,OPEN,2,16,18,18
83230,ART,1201C,ART 1201C,Two-Dimensional Design,[REDACTED],TR | 3:05 PM - 5:35 PM | 45-Fine Arts Center Room 1606,Main Campus-UNF,Standard,OPEN,4,14,18,18
82385,ART,1300C,ART 1300C,Drawing I,[REDACTED],MW | 9:00 AM - 11:30 AM | 45-Fine Arts Center Room 2505,Main Campus-UNF,Standard,FULL - WAITLIST AVAILABLE,0,18,18,18
83229,ART,1300C,ART 1300C,Drawing I,[REDACTED],MW | 12:00 PM - 2:30 PM | 45-Fine Arts Center Room 2506,Main Campus-UNF,Standard,OPEN,1,17,18,18
83239,ART,1300C,ART 1300C,Drawing I,[REDACTED],TR | 9:25 AM - 11:55 AM | 45-Fine Arts Center Room 2506,Main Campus-UNF,Standard,FULL - WAITLIST AVAILABLE,0,18,18,18
83669,ART,1300C,ART 1300C,Drawing I,[REDACTED],TR | 3:05 PM - 5:35 PM | 45-Fine Arts Center Room 2506,Main Campus-UNF,Standard,OPEN,1,17,18,18
86395,ART,1300C,ART 1300C,Drawing I,[REDACTED],MW | 3:00 PM - 5:30 PM | 45-Fine Arts Center Room 2505,Main Campus-UNF,Standard,OPEN,5,13,18,18
83175,ART,1600C,ART 1600C,Digital Imaging Methods,[REDACTED],TR | 12:15 PM - 2:45 PM | 45-Fine Arts Center Room 2813,Main Campus-UNF,Standard,OPEN,3,17,20,20
83319,ART,1600C,ART 1600C,Digital Imaging Methods,[REDACTED],MW | 9:00 AM - 11:30 AM | 45-Fine Arts Center Room 2502,Main Campus-UNF,Standard,OPEN,2,18,20,20
82206,ART,2203C,ART 2203C,Three-Dimensional Design,[REDACTED],MW | 9:00 AM - 11:30 AM | 6-Building Services Room 1237,Main Campus-UNF,Standard,OPEN,1,15,16,16
82647,ART,2203C,ART 2203C,Three-Dimensional Design,[REDACTED],TR | 9:25 AM - 11:55 AM | 6-Building Services Room 1237,Main Campus-UNF,Standard,OPEN,1,14,15,15
85829,ART,2203C,ART 2203C,Three-Dimensional Design,[REDACTED],F | 9:00 AM - 2:00 PM | 6-Building Services Room 1237,Main Campus-UNF,Standard,OPEN,7,8,15,15
82010,ART,2301C,ART 2301C,Drawing II,[REDACTED],MW | 12:00 PM - 2:30 PM | 45-Fine Arts Center Room 2505,Main Campus-UNF,Standard,FULL - WAITLIST AVAILABLE,0,18,18,18
82156,ART,2301C,ART 2301C,Drawing II,[REDACTED],TR | 9:25 AM - 11:55 AM | 45-Fine Arts Center Room 2505,Main Campus-UNF,Standard,OPEN,3,15,18,18
83614,ART,2301C,ART 2301C,Drawing II,[REDACTED],TR | 12:15 PM - 2:45 PM | 45-Fine Arts Center Room 2506,Main Campus-UNF,Standard,OPEN,1,17,18,18
83202,ART,2330C,ART 2330C,Figure Drawing I,[REDACTED],TR | 12:15 PM - 2:45 PM | 45-Fine Arts Center Room 2505,Main Campus-UNF,Standard,OPEN,3,15,18,18
82249,ART,2400C,ART 2400C,Introduction to Printmaking,[REDACTED],MW | 12:00 PM - 2:30 PM | 45-Fine Arts Center Room 1603,Main Campus-UNF,Standard,OPEN,3,12,15,15
82250,ART,2400C,ART 2400C,Introduction to Printmaking,[REDACTED],TR | 12:15 PM - 2:45 PM | 45-Fine Arts Center Room 1603,Main Campus-UNF,Standard,OPEN,6,9,15,15
